year	numSeeds	infectedNodes
2007	48	{"7783___experimental results":[],"1128___time-varying delays":[],"2270___fuzzy multi":[],"4736___substantially contribute":[],"10405___distributed delays":[],"128___velocity (software development)":[],"9607___lyapunov–krasovskii functional":[],"130___mathematical optimization":[],"10391___bidirectional associative memory":[],"2267___paper focuses":[],"5822___evolutionary algorithm":[],"11134___widely used":[],"127___particle swarm optimization":[],"4735___illegal trade":[],"10406___bidirectional associative memory neural networks":[],"5481___entry points":[],"1126___linear matrix inequality":[],"7755___lasalle invariance principle":[],"1149___lyapunov fractal":[],"7569___human colon":[],"11138___scientific computation especially":[],"4080___logarithmic domain computation":[],"1130___neural network simulation":[],"2268___fuzzy logic control":[],"4079___multiplier-less architecture":[],"10646___e systems":[],"1125___artificial neural network":[],"10392___content-addressable memory":[],"11136___multidimensional domains":[],"2272___mobility management":[],"3269___lag synchronization":[],"7756___mean square asymptotic stability":[],"1135___synchronization":[],"1134___lyapunov functional":[],"10863___rate of convergence":[],"11133___estimating integrals":[],"7570___endoscopic technique":[],"11140___monte carlo":[],"1132___social inequality":[],"5823___numerical analysis":[],"10648___varying delay":[],"3254___fuzzy rule":[],"5482___web forms":[],"7784___information retrieval":[],"1136___chaos":[],"3138___cohen–grossberg neural networks":[],"10645___varying delays":[],"3253___genetic algorithm":[]}
2008	5	{"1759___artificial neural network":["4926___biological neural networks"],"562___mathematical optimization":["1770___lyapunov method"],"564___social inequality":[],"1762___linear matrix inequality":["561___numerical analysis","4907___varying delays","4915___exponential stability"],"1764___lyapunov fractal":[]}
2008	10	{"9352___instance selection":["9349___image scaling","9350___selection algorithm","9354___subgroup discovery"],"1759___artificial neural network":["4926___biological neural networks"],"561___numerical analysis":[],"562___mathematical optimization":["6622___rate of convergence","6621___global optimization"],"564___social inequality":[],"2556___interference (communication)":["2046___cognitive radio","3150___relay","3152___signal-to-interference-plus-noise ratio","2045___simulation"],"559___algorithm":["560___computation"],"1762___linear matrix inequality":["2660___lyapunov–krasovskii functional","1771___global asymptotic stability","4907___varying delays","4915___exponential stability"],"1770___lyapunov method":[],"1764___lyapunov fractal":["1782___neural networks","3082___exponential"]}
2008	20	{"1759___artificial neural network":["4926___biological neural networks"],"9349___image scaling":[],"3152___signal-to-interference-plus-noise ratio":[],"3148___multi-user":[],"562___mathematical optimization":["6622___rate of convergence","6621___global optimization"],"3150___relay":[],"3146___user interface":[],"3144___systems architecture":[],"564___social inequality":[],"1762___linear matrix inequality":["1782___neural networks","2660___lyapunov–krasovskii functional","4907___varying delays","4915___exponential stability","1771___global asymptotic stability"],"1764___lyapunov fractal":[],"9352___instance selection":[],"561___numerical analysis":[],"9350___selection algorithm":[],"3142___ici (programming language)":[],"2555___throughput":[],"2556___interference (communication)":["2046___cognitive radio","2045___simulation"],"9354___subgroup discovery":[],"559___algorithm":["560___computation"],"1770___lyapunov method":[]}
2008	90	{"1465___paper presents":[],"7362___s search query":[],"2660___lyapunov–krasovskii functional":[],"562___mathematical optimization":[],"7356___criteria according":[],"1771___global asymptotic stability":[],"3146___user interface":[],"6850___optical flow":[],"4912___distributed time":[],"1762___linear matrix inequality":[],"9352___instance selection":[],"5664___continuous optimization":[],"2530___multistability":[],"4926___biological neural networks":[],"7350___specified products":[],"7349___query server accesses":[],"7370___web pages located":[],"1470___task cluster":[],"3082___exponential":[],"1782___neural networks":[],"6924___wavelet transform":[],"3152___signal-to-interference-plus-noise ratio":[],"7255___domain ontology ":[],"2045___simulation":[],"6871___using eigen faces":[],"3144___systems architecture":[],"6920___dimension reduction":[],"11167___markov chain":[],"1466___advanced cross":[],"7364___product offering":[],"2046___cognitive radio":[],"7354___scored web pages":[],"9350___selection algorithm":[],"5680___enhancement technique constitutes":[],"4678___promising access network":[],"5682___color restoration":[],"6852___sparse matrix":[],"4677___access network selection":[],"7360___responsive web pages":[],"2556___interference (communication)":[],"10635___stochastic neural networks":[],"7665___concept lattice ":[],"9354___subgroup discovery":[],"1770___lyapunov method":[],"6874___face recognition":[],"5663___chaos theory":[],"9349___image scaling":[],"10636___time-varying delays":[],"5679___adaptive technique":[],"3148___multi-user":[],"3150___relay":[],"7366___scored based":[],"7368___search engine":[],"4910___matlab lmi toolbox":[],"6918___new wavelet":[],"6621___global optimization":[],"560___computation":[],"1764___lyapunov fractal":[],"10493___water distribution":[],"7358___locate pages":[],"5684___image enhancement based":[],"3142___ici (programming language)":[],"6872___face database":[],"10494___injected contaminant":[],"1759___artificial neural network":[],"6917___approximation coefficients":[],"6922___dynamic range compression":[],"2659___unbounded distributed delays":[],"6622___rate of convergence":[],"8132___femto cell":[],"564___social inequality":[],"4915___exponential stability":[],"6876___eigen faces":[],"7256___description logic ":[],"7352___crawler program":[],"8131___heterogeneous networks":[],"561___numerical analysis":[],"7670___formal context ":[],"7374___assists users":[],"6878___popular method":[],"2532___07.05.mh":[],"11168___markov decision process":[],"2529___89.75.kd":[],"2555___throughput":[],"7372___locating web pages":[],"4909___krasovskii functional":[],"4907___varying delays":[],"559___algorithm":[],"1468___lingual information access":[],"6849___pixel":[]}
2009	5	{"7896___hybrid learning algorithm":[],"3109___mathematical optimization":["8236___optimization problem","7892___anfis","8225___global optimization","7884___gradient descent","8233___test suite","3136___differential evolution","8228___rate of convergence"],"7890___stability analysis":["7888___identification","7904___machine learning","7900___simulation","7894___recursive least squares filter"],"3131___particle swarm optimization":["7886___recursion"],"7898___system identifier":[]}
2009	10	{"7882___adaptive neuro fuzzy inference system":[],"7896___hybrid learning algorithm":[],"3109___mathematical optimization":[],"7890___stability analysis":["7894___recursive least squares filter"],"7900___simulation":[],"3131___particle swarm optimization":[],"7898___system identifier":["7886___recursion"],"7904___machine learning":[],"7884___gradient descent":[],"7902___lyapunov fractal":[]}
2009	20	{"7882___adaptive neuro fuzzy inference system":[],"7896___hybrid learning algorithm":[],"7066___semantic filexa0…":[],"3109___mathematical optimization":["3136___differential evolution","8228___rate of convergence","3133___algorithm","8236___optimization problem","8225___global optimization","9304___reinforcement learning"],"7068___manual entry":[],"7890___stability analysis":[],"7900___simulation":[],"7892___anfis":[],"3131___particle swarm optimization":[],"7070___semantic attributes allows":[],"7904___machine learning":[],"7902___lyapunov fractal":[],"7888___identification":[],"7894___recursive least squares filter":[],"7065___semantic attributes":[],"7074___attribute information":[],"7898___system identifier":[],"7886___recursion":[],"7884___gradient descent":[],"7078___semantic information":[]}
2009	74	{"9689___paper presents":[],"7896___hybrid learning algorithm":[],"3109___mathematical optimization":[],"3110___evolutionary algorithm":[],"3131___particle swarm optimization":[],"5351___34k14":[],"8414___significant information resource":[],"3313___web applications":[],"6641___linear matrix inequality":[],"9302___3d modeling":[],"8420___information discovery":[],"5672___05.45.vx":[],"3136___differential evolution":[],"8416___web crawlers":[],"9690___cognitive radios":[],"6996___biological neural networks":[],"5142___style algorithm":[],"7898___system identifier":[],"9299___aliasing":[],"100___frequency band":[],"5144___dual sparsity":[],"8409___new approach":[],"3314___web forums":[],"7549___data mining ":[],"9397___neural networks":[],"8236___optimization problem":[],"5354___lyapunov functional":[],"7890___stability analysis":[],"7900___simulation":[],"5146___margin markov network":[],"5671___05.45.xt":[],"7325___complex networks":[],"5537___blog network":[],"9304___reinforcement learning":[],"8422___conventional web search":[],"99___cognitive radio":[],"5674___05.45.gg":[],"116___interference (communication)":[],"7065___semantic attributes":[],"7074___attribute information":[],"5352___92b20":[],"9398___lyapunov method":[],"5353___distributed delay":[],"7066___semantic filexa0…":[],"7068___manual entry":[],"6893___visual quality":[],"7070___semantic attributes allows":[],"7904___machine learning":[],"8225___global optimization":[],"7902___lyapunov fractal":[],"5561___disjunctive normal form":[],"8412___kosmix approach":[],"8418___inhospitable region":[],"5140___desirable property":[],"7884___gradient descent":[],"7078___semantic information":[],"6995___artificial neural network":[],"7882___adaptive neuro fuzzy inference system":[],"8410___deep web":[],"11579___frequency allocation":[],"7072___improved organization":[],"8228___rate of convergence":[],"7892___anfis":[],"5139___real data sets":[],"6642___social inequality":[],"8233___test suite":[],"7888___identification":[],"7076___automatically generated":[],"5563___fuzzy rule":[],"7894___recursive least squares filter":[],"5538___information diffusion":[],"6894___digital images captured":[],"7886___recursion":[],"3133___algorithm":[]}
2010	5	{"1338___cognitive radio":["2543___scheduling (computing)","5531___game theory"],"402___multi-agent system":["437___numerous","418___q-learning","419___real-time clock"],"406___interference (communication)":["4012___interaction"],"414___reinforcement learning":["9362___stationary process","3448___network congestion","416___rate of convergence","8718___cognition","4728___overhead (computing)","404___coexist (image)"],"408___algorithm":["412___programming paradigm","119___numerical analysis","10207___decision tree","470___centralized computing","401___self-organization"]}
